Harga,Tahun,Jarak_km,CC_mid,Usia_mobil,Merek,Model,Varian,Tipe bahan bakar,Transmisi,Tipe bodi,Sistem Penggerak,Warna,Tipe Penjual,KotaKab,Provinsi,Nama Bursa Mobil
83500000.0,2010.0,82500.0,1750.0,15.0,Nissan,Serena,HWS,Bensin,Automatic,Minibus,Front Wheel Drive (FWD),Abu-abu,Diler,Jakarta Selatan,Jakarta D.K.I.,nan
160000000.0,2016.0,32500.0,1250.0,9.0,Toyota,Avanza,Veloz,Bensin,Automatic,MPV,Rear Wheel Drive (RWD),Silver,nan,Pontianak Kota,Kalimantan Barat,nan
475000000.0,2011.0,12500.0,3000.0,14.0,Chrysler,300,300C,Bensin,Automatic Triptonic,Sedan,All Wheel Drive (AWD),Hitam,nan,Jakarta Selatan,Jakarta D.K.I.,nan
590000000.0,2017.0,17500.0,1750.0,8.0,BMW,X1,sDrive18i xLine,Diesel,Automatic Triptonic,SUV,Front Wheel Drive (FWD),Putih,nan,Jakarta Utara,Jakarta D.K.I.,Bursa Otomotif Sunter
79000000.0,2015.0,52500.0,1750.0,10.0,Tata,Super Ace,DLS,Bensin,Manual,Pick-up,All Wheel Drive (AWD),Hitam,Individu,Mojokerto Kab.,Jawa Timur,nan
275000000.0,2010.0,72500.0,1250.0,15.0,Fiat,Abart,Lain-lain,Bensin,Manual,Compact & City Car,Front Wheel Drive (FWD),Putih,Diler,Surabaya Kota,Jawa Timur,Bursa Mobil Lenmarc Surabaya
189000000.0,2013.0,47500.0,2500.0,12.0,KIA,Sorento,nan,Bensin,Automatic,nan,nan,Abu-abu,Diler,Jakarta Pusat,Jakarta D.K.I.,Bursa Mobil Bintaro
115000000.0,2013.0,62500.0,1250.0,12.0,Toyota,Avanza,G,Bensin,Automatic,MPV,Rear Wheel Drive (RWD),Silver,Individu,Bekasi Kota,Jawa Barat,nan
95000000.0,2013.0,87500.0,1250.0,12.0,Ford,Fiesta,Trend,Bensin,Automatic,Hatchback,4X2,Putih,Individu,Bogor Kota,Jawa Barat,nan
85000000.0,2014.0,22500.0,1250.0,11.0,Daihatsu,Gran max,Lain-lain,Bensin,Manual,Minibus,nan,Putih,nan,Surabaya Kota,Jawa Timur,nan
75000000.0,2014.0,92500.0,1250.0,11.0,Daihatsu,Gran max Pick-up,Lain-lain,Bensin,Manual,Pick-up,4X2,Hitam,Individu,Medan Kota,Sumatra Utara,nan
70000000.0,2004.0,202500.0,1250.0,21.0,Honda,Jazz,i-DSI,Bensin,Automatic,Sedan,4X2,Biru,Individu,Tangerang Selatan Kota,Banten,nan
150000000.0,2010.0,52500.0,2500.0,15.0,Subaru,Impreza,2.0i-S,Bensin,Automatic,Sedan,All Wheel Drive (AWD),Putih,Individu,Jakarta Timur,Jakarta D.K.I.,nan
70000000.0,2011.0,77500.0,1250.0,14.0,Hyundai,i10,1.1 L,Bensin,Manual,Compact & City Car,nan,Silver,Individu,Jakarta Selatan,Jakarta D.K.I.,Bursa Mobil Blok M Plaza
40000000.0,1995.0,42500.0,1250.0,30.0,Toyota,Kijang,1.5,Bensin,Manual,Bus,4X2,Biru,Individu,Medan Kota,Sumatra Utara,nan
325000000.0,2014.0,37500.0,,11.0,Mercedes-Benz,E-Class,E250,Bensin,Automatic Triptonic,nan,nan,Hitam,Diler,Jakarta Utara,Jakarta D.K.I.,Bursa Otomotif Sunter
